Area,Type,2013,2014,2015,2016,2017
Leitrim,Current Taxes on Income (Euro Million),168,181,185,182,192
Leitrim,Disposable Household Income (Euro Million),541,536,553,559,602
Leitrim,Disposable Income per Person (Euro),16916,16645,17044,17022,18115
Leitrim,Index of Disposable Income per Person (State=100),94,91.6,90.4,86.6,87.5
Leitrim,Disposable Income per Person (excluding Rent) (Euro),15644,15235,15641,15354,16598
Leitrim,Index of Disposable Income per Person (excluding Rent) (State=100),96.3,93.9,92.4,89.7,90.3
Sligo,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",861,855,902,903,962
Sligo,Income of Self Employed (Euro Million),105,124,132,140,145
Sligo,Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million),86,91,101,99,106
Sligo,Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million),42,47,45,34,47
Sligo,Primary Income (Euro Million),1094,1118,1180,1177,1260
Sligo,Social Benefits and Other Current Transfers (Euro Million),407,399,392,391,423
Sligo,Total Household Income (Euro Million),1501,1517,1573,1568,1682
Sligo,Total Income per Person (Euro),22828,22911,23554,23209,24632
Sligo,Index of Total Income per Person (State=100),89.9,88.1,87.7,83.6,84.2
Sligo,Current Taxes on Income (Euro Million),380,405,416,402,422
Sligo,Disposable Household Income (Euro Million),1121,1112,1157,1166,1260
Sligo,Disposable Income per Person (Euro),17052,16795,17331,17260,18451
Sligo,Index of Disposable Income per Person (State=100),94.7,92.4,91.9,87.8,89.1
Sligo,Disposable Income per Person (excluding Rent) (Euro),15590,15184,15720,15382,16728
Sligo,Index of Disposable Income per Person (excluding Rent) (State=100),95.9,93.6,92.8,89.8,91
Cavan,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",882,906,970,1005,1046
Cavan,Income of Self Employed (Euro Million),144,168,184,195,220
Cavan,Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million),81,87,97,93,99
Cavan,Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million),44,51,49,38,53
Cavan,Primary Income (Euro Million),1151,1211,1300,1331,1419
Cavan,Social Benefits and Other Current Transfers (Euro Million),410,403,393,394,410
Cavan,Total Household Income (Euro Million),1561,1614,1693,1725,1829
Cavan,Total Income per Person (Euro),21210,21787,22656,22815,23925
Cavan,Index of Total Income per Person (State=100),83.5,83.7,84.4,82.2,81.8
Cavan,Current Taxes on Income (Euro Million),389,431,449,450,464
Cavan,Disposable Household Income (Euro Million),1172,1183,1244,1275,1365
Cavan,Disposable Income per Person (Euro),15929,15970,16650,16859,17860
Cavan,Index of Disposable Income per Person (State=100),88.5,87.9,88.3,85.8,86.2
Cavan,Disposable Income per Person (excluding Rent) (Euro),14679,14574,15264,15214,16390
Cavan,Index of Disposable Income per Person (excluding Rent) (State=100),90.3,89.8,90.1,88.8,89.2
Donegal,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",1439,1461,1566,1620,1738
Donegal,Income of Self Employed (Euro Million),241,263,279,296,325
Donegal,Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million),175,186,207,196,209
Donegal,Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million),74,84,81,62,88
Donegal,Primary Income (Euro Million),1929,1995,2133,2175,2360
Donegal,Social Benefits and Other Current Transfers (Euro Million),1074,1051,1010,987,1028
Donegal,Total Household Income (Euro Million),3003,3046,3143,3162,3388
Donegal,Total Income per Person (Euro),18529,18670,19107,18996,20128
Donegal,Index of Total Income per Person (State=100),73,71.8,71.1,68.4,68.8
Donegal,Current Taxes on Income (Euro Million),635,689,715,714,752
Donegal,Disposable Household Income (Euro Million),2368,2356,2428,2448,2636
Donegal,Disposable Income per Person (Euro),14613,14444,14766,14705,15662
Donegal,Index of Disposable Income per Person (State=100),81.2,79.5,78.3,74.8,75.6
Donegal,Disposable Income per Person (excluding Rent) (Euro),13425,13138,13441,13224,14292
Donegal,Index of Disposable Income per Person (excluding Rent) (State=100),82.6,81,79.4,77.2,77.8
Monaghan,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",664,701,764,807,856
Monaghan,Income of Self Employed (Euro Million),105,125,149,159,158
Monaghan,Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million),68,72,80,79,85
Monaghan,Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million),33,40,39,31,43
Monaghan,Primary Income (Euro Million),870,938,1033,1076,1142
Monaghan,Social Benefits and Other Current Transfers (Euro Million),354,343,330,325,344
Monaghan,Total Household Income (Euro Million),1224,1281,1362,1400,1486
Monaghan,Total Income per Person (Euro),20119,20919,22055,22412,23517
Monaghan,Index of Total Income per Person (State=100),79.2,80.4,82.1,80.8,80.4
Monaghan,Current Taxes on Income (Euro Million),293,329,350,350,368
Monaghan,Disposable Household Income (Euro Million),931,952,1012,1051,1118
Monaghan,Disposable Income per Person (Euro),15297,15547,16389,16816,17698
Monaghan,Index of Disposable Income per Person (State=100),85,85.6,86.9,85.5,85.4
Monaghan,Disposable Income per Person (excluding Rent) (Euro),14054,14163,15007,15137,16184
Monaghan,Index of Disposable Income per Person (excluding Rent) (State=100),86.5,87.3,88.6,88.4,88
West,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",5617,5745,5918,6455,6733
West,Income of Self Employed (Euro Million),793,894,945,1003,1064
West,Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million),635,680,735,757,799
West,Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million),281,322,299,242,334
West,Primary Income (Euro Million),7327,7642,7897,8458,8930
West,Social Benefits and Other Current Transfers (Euro Million),2640,2584,2521,2498,2606
West,Total Household Income (Euro Million),9967,10226,10418,10955,11535
West,Total Income per Person (Euro),22251,22679,22910,23814,24798
West,Index of Total Income per Person (State=100),87.6,87.2,85.3,85.8,84.8
West,Current Taxes on Income (Euro Million),2599,2798,2805,2929,3020
West,Disposable Household Income (Euro Million),7367,7428,7613,8027,8516
West,Disposable Income per Person (Euro),16447,16473,16745,17447,18306
West,Index of Disposable Income per Person (State=100),91.4,90.7,88.8,88.7,88.4
West,Disposable Income per Person (excluding Rent) (Euro),14881,14735,15038,15372,16411
West,Index of Disposable Income per Person (excluding Rent) (State=100),91.6,90.8,88.8,89.8,89.3
Galway,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",3393,3460,3627,3962,4114
Galway,Income of Self Employed (Euro Million),434,492,517,548,573
Galway,Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million),390,420,445,486,510
Galway,Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million),168,193,181,147,202
Galway,Primary Income (Euro Million),4386,4564,4769,5144,5398
Galway,Social Benefits and Other Current Transfers (Euro Million),1455,1429,1391,1374,1425
Galway,Total Household Income (Euro Million),5840,5993,6160,6518,6823
Galway,Total Income per Person (Euro),23167,23616,24069,25172,26061
Galway,Index of Total Income per Person (State=100),91.2,90.8,89.6,90.7,89.1
Galway,Current Taxes on Income (Euro Million),1588,1695,1720,1808,1851
Galway,Disposable Household Income (Euro Million),4252,4298,4440,4709,4972
Galway,Disposable Income per Person (Euro),16867,16937,17351,18188,18990
Galway,Index of Disposable Income per Person (State=100),93.7,93.2,92,92.5,91.7
Galway,Disposable Income per Person (excluding Rent) (Euro),15164,15042,15516,15849,16853
Galway,Index of Disposable Income per Person (excluding Rent) (State=100),93.3,92.7,91.6,92.5,91.7
Mayo,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",1485,1524,1525,1654,1742
Mayo,Income of Self Employed (Euro Million),243,271,285,303,327
Mayo,Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million),168,178,198,185,197
Mayo,Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million),76,87,79,63,88
Mayo,Primary Income (Euro Million),1971,2059,2088,2205,2355
Mayo,Social Benefits and Other Current Transfers (Euro Million),822,795,778,774,803
Mayo,Total Household Income (Euro Million),2793,2855,2866,2979,3158
Mayo,Total Income per Person (Euro),21258,21582,21490,22076,23143
Mayo,Index of Total Income per Person (State=100),83.7,83,80,79.5,79.2
Mayo,Current Taxes on Income (Euro Million),676,737,723,745,778
Mayo,Disposable Household Income (Euro Million),2117,2117,2143,2234,2380
Mayo,Disposable Income per Person (Euro),16111,16009,16071,16553,17439
Mayo,Index of Disposable Income per Person (State=100),89.5,88.1,85.2,84.2,84.2
Mayo,Disposable Income per Person (excluding Rent) (Euro),14699,14450,14503,14796,15832
Mayo,Index of Disposable Income per Person (excluding Rent) (State=100),90.5,89.1,85.6,86.4,86.1
Roscommon,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",739,762,766,840,877
Roscommon,Income of Self Employed (Euro Million),116,131,143,152,164
Roscommon,Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million),78,83,92,86,92
Roscommon,Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million),37,43,39,32,44
Roscommon,Primary Income (Euro Million),970,1019,1040,1109,1177
Roscommon,Social Benefits and Other Current Transfers (Euro Million),363,360,352,350,378
Roscommon,Total Household Income (Euro Million),1333,1378,1391,1459,1555
Roscommon,Total Income per Person (Euro),20691,21248,21271,22042,23231
Roscommon,Index of Total Income per Person (State=100),81.5,81.7,79.2,79.4,79.5
Roscommon,Current Taxes on Income (Euro Million),335,366,362,375,390
Roscommon,Disposable Household Income (Euro Million),998,1012,1030,1084,1164
Roscommon,Disposable Income per Person (Euro),15491,15600,15745,16373,17399
Roscommon,Index of Disposable Income per Person (State=100),86.1,85.9,83.5,83.3,84
Roscommon,Disposable Income per Person (excluding Rent) (Euro),14149,14114,14261,14681,15865
Roscommon,Index of Disposable Income per Person (excluding Rent) (State=100),87.1,87,84.2,85.7,86.3
Southern,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",21290,21960,23304,24704,25747
Southern,Income of Self Employed (Euro Million),3682,3991,3919,4289,4554
Southern,Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million),2174,2315,2543,2663,2822
Southern,Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million),1084,1245,1172,934,1288
Southern,Primary Income (Euro Million),28231,29511,30938,32590,34412
Southern,Social Benefits and Other Current Transfers (Euro Million),9422,9222,9000,8940,9247
Southern,Total Household Income (Euro Million),37653,38733,39938,41530,43658
Southern,Total Income per Person (Euro),24287,24819,25374,26082,27116
Southern,Index of Total Income per Person (State=100),95.6,95.4,94.5,94,92.7
Southern,Current Taxes on Income (Euro Million),10181,10988,11172,11315,11818
Southern,Disposable Household Income (Euro Million),27472,27745,28766,30215,31840
Southern,Disposable Income per Person (Euro),17720,17778,18280,18976,19776
Southern,Index of Disposable Income per Person (State=100),98.4,97.8,97,96.5,95.5
Southern,Disposable Income per Person (excluding Rent) (Euro),16151,16037,16562,16822,17823
Southern,Index of Disposable Income per Person (excluding Rent) (State=100),99.4,98.8,97.8,98.2,97
Mid-West,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",6564,6737,7086,7760,8218
Mid-West,Income of Self Employed (Euro Million),1186,1157,1165,1236,1370
Mid-West,Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million),633,672,745,741,790
Mid-West,Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million),335,377,354,287,404
Mid-West,Primary Income (Euro Million),8718,8943,9350,10024,10781
Mid-West,Social Benefits and Other Current Transfers (Euro Million),2976,2908,2834,2909,2998
Mid-West,Total Household Income (Euro Million),11694,11850,12184,12933,13779
Mid-West,Total Income per Person (Euro),24856,25023,25510,26765,28203
Mid-West,Index of Total Income per Person (State=100),97.9,96.2,95,96.4,96.5
Mid-West,Current Taxes on Income (Euro Million),3122,3324,3367,3485,3703
Mid-West,Disposable Household Income (Euro Million),8572,8526,8817,9448,10076
Mid-West,Disposable Income per Person (Euro),18220,18003,18464,19553,20623
Mid-West,Index of Disposable Income per Person (State=100),101.2,99.1,97.9,99.5,99.6
Mid-West,Disposable Income per Person (excluding Rent) (Euro),16704,16326,16802,17528,18799
Mid-West,Index of Disposable Income per Person (excluding Rent) (State=100),102.8,100.6,99.2,102.4,102.3
Clare,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",1500,1535,1624,1800,1911
Clare,Income of Self Employed (Euro Million),245,267,277,294,316
Clare,Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million),153,162,180,177,189
Clare,Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million),76,87,82,67,94
Clare,Primary Income (Euro Million),1973,2051,2163,2339,2510
Clare,Social Benefits and Other Current Transfers (Euro Million),661,649,629,623,654
Clare,Total Household Income (Euro Million),2634,2700,2792,2961,3164
Clare,Total Income per Person (Euro),22343,22755,23333,24460,25848
Clare,Index of Total Income per Person (State=100),88,87.5,86.9,88.1,88.4
Clare,Current Taxes on Income (Euro Million),722,768,788,832,868
Clare,Disposable Household Income (Euro Million),1912,1932,2004,2129,2296
Clare,Disposable Income per Person (Euro),16220,16282,16752,17588,18756
Clare,Index of Disposable Income per Person (State=100),90.1,89.6,88.9,89.5,90.5
Clare,Disposable Income per Person (excluding Rent) (Euro),14772,14678,15151,15665,17016
Clare,Index of Disposable Income per Person (excluding Rent) (State=100),90.9,90.5,89.5,91.5,92.6
Limerick,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",3119,3206,3337,3812,4003
Limerick,Income of Self Employed (Euro Million),371,412,420,446,504
Limerick,Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million),272,289,320,329,351
Limerick,Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million),150,172,161,135,189
Limerick,Primary Income (Euro Million),3913,4078,4238,4722,5046
Limerick,Social Benefits and Other Current Transfers (Euro Million),1280,1248,1219,1179,1231
Limerick,Total Household Income (Euro Million),5192,5326,5457,5901,6278
Limerick,Total Income per Person (Euro),26915,27424,27860,29782,31334
Limerick,Index of Total Income per Person (State=100),106,105.4,103.7,107.3,107.2
Limerick,Current Taxes on Income (Euro Million),1428,1539,1545,1675,1760
Limerick,Disposable Household Income (Euro Million),3765,3787,3911,4226,4517
Limerick,Disposable Income per Person (Euro),19515,19501,19974,21329,22547
Limerick,Index of Disposable Income per Person (State=100),108.4,107.3,105.9,108.5,108.9
Limerick,Disposable Income per Person (excluding Rent) (Euro),17917,17727,18226,19102,20558
Limerick,Index of Disposable Income per Person (excluding Rent) (State=100),110.3,109.3,107.6,111.5,111.8
Tipperary,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",1945,1996,2124,2147,2304
Tipperary,Income of Self Employed (Euro Million),570,478,468,497,550
Tipperary,Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million),208,221,245,234,249
Tipperary,Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million),109,119,112,85,121
Tipperary,Primary Income (Euro Million),2832,2814,2949,2963,3225
Tipperary,Social Benefits and Other Current Transfers (Euro Million),1036,1011,986,1107,1113
Tipperary,Total Household Income (Euro Million),3868,3825,3935,4070,4337
Tipperary,Total Income per Person (Euro),24222,23795,24279,24821,26157
Tipperary,Index of Total Income per Person (State=100),95.4,91.5,90.4,89.4,89.5
Tipperary,Current Taxes on Income (Euro Million),972,1018,1034,978,1075
Tipperary,Disposable Household Income (Euro Million),2895,2807,2902,3092,3263
Tipperary,Disposable Income per Person (Euro),18132,17464,17905,18857,19677
Tipperary,Index of Disposable Income per Person (State=100),100.7,96.1,95,95.9,95
Tipperary,Disposable Income per Person (excluding Rent) (Euro),16665,15851,16299,17002,17990
Tipperary,Index of Disposable Income per Person (excluding Rent) (State=100),102.6,97.7,96.3,99.3,97.9
South-East,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",5066,5402,5883,5802,5876
South-East,Income of Self Employed (Euro Million),923,1049,1092,1159,1169
South-East,Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million),540,575,639,625,667
South-East,Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million),261,309,300,224,300
South-East,Primary Income (Euro Million),6791,7335,7913,7809,8011
South-East,Social Benefits and Other Current Transfers (Euro Million),2672,2623,2557,2525,2625
South-East,Total Household Income (Euro Million),9463,9958,10470,10334,10636
South-East,Total Income per Person (Euro),22997,24040,25063,24452,24888
South-East,Index of Total Income per Person (State=100),90.5,92.4,93.3,88.1,85.1
South-East,Current Taxes on Income (Euro Million),2385,2676,2802,2637,2681
South-East,Disposable Household Income (Euro Million),7078,7282,7668,7698,7956
South-East,Disposable Income per Person (Euro),17201,17580,18359,18213,18616
South-East,Index of Disposable Income per Person (State=100),95.5,96.8,97.4,92.6,89.9
South-East,Disposable Income per Person (excluding Rent) (Euro),15737,15951,16731,16299,16881
South-East,Index of Disposable Income per Person (excluding Rent) (State=100),96.8,98.3,98.8,95.2,91.8
Carlow,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",671,714,809,793,790
Carlow,Income of Self Employed (Euro Million),102,115,121,128,121
Carlow,Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million),76,81,90,88,94
Carlow,Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million),34,40,40,30,39
Carlow,Primary Income (Euro Million),883,949,1059,1039,1044
Carlow,Social Benefits and Other Current Transfers (Euro Million),391,383,376,370,381
Carlow,Total Household Income (Euro Million),1274,1332,1435,1409,1425
Carlow,Total Income per Person (Euro),23196,24093,25737,24979,24984
Carlow,Index of Total Income per Person (State=100),91.3,92.6,95.8,90,85.4
Carlow,Current Taxes on Income (Euro Million),307,344,374,350,348
Carlow,Disposable Household Income (Euro Million),967,988,1061,1059,1077
Carlow,Disposable Income per Person (Euro),17609,17877,19040,18772,18885
Carlow,Index of Disposable Income per Person (State=100),97.8,98.4,101,95.5,91.2
Carlow,Disposable Income per Person (excluding Rent) (Euro),16087,16188,17333,16783,17074
Carlow,Index of Disposable Income per Person (excluding Rent) (State=100),99,99.8,102.4,98,92.9
Kilkenny,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",1292,1332,1454,1432,1449
Kilkenny,Income of Self Employed (Euro Million),242,272,280,298,311
Kilkenny,Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million),125,133,147,151,161
Kilkenny,Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million),66,76,74,55,75
Kilkenny,Primary Income (Euro Million),1725,1813,1956,1936,1997
Kilkenny,Social Benefits and Other Current Transfers (Euro Million),526,518,503,501,528
Kilkenny,Total Household Income (Euro Million),2252,2331,2459,2436,2525
Kilkenny,Total Income per Person (Euro),23463,24127,25241,24718,25333
Kilkenny,Index of Total Income per Person (State=100),92.4,92.7,94,89.1,86.6
Kilkenny,Current Taxes on Income (Euro Million),616,676,707,666,682
Kilkenny,Disposable Household Income (Euro Million),1635,1655,1752,1770,1843
Kilkenny,Disposable Income per Person (Euro),17039,17135,17987,17958,18494
Kilkenny,Index of Disposable Income per Person (State=100),94.7,94.3,95.4,91.3,89.3
Kilkenny,Disposable Income per Person (excluding Rent) (Euro),15571,15503,16371,15963,16690
Kilkenny,Index of Disposable Income per Person (excluding Rent) (State=100),95.8,95.5,96.7,93.2,90.8
Wexford,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",1630,1760,1931,1889,1933
Wexford,Income of Self Employed (Euro Million),343,388,404,429,424
Wexford,Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million),188,201,223,214,229
Wexford,Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million),86,103,101,75,101
Wexford,Primary Income (Euro Million),2249,2452,2659,2607,2685
Wexford,Social Benefits and Other Current Transfers (Euro Million),986,965,942,930,943
Wexford,Total Household Income (Euro Million),3235,3417,3602,3537,3629
Wexford,Total Income per Person (Euro),22131,23224,24276,23561,23906
Wexford,Index of Total Income per Person (State=100),87.1,89.3,90.4,84.9,81.8
Wexford,Current Taxes on Income (Euro Million),763,867,914,854,873
Wexford,Disposable Household Income (Euro Million),2471,2550,2688,2683,2756
Wexford,Disposable Income per Person (Euro),16909,17329,18117,17871,18154
Wexford,Index of Disposable Income per Person (State=100),93.9,95.4,96.1,90.9,87.6
Wexford,Disposable Income per Person (excluding Rent) (Euro),15481,15739,16520,16035,16483
Wexford,Index of Disposable Income per Person (excluding Rent) (State=100),95.3,97,97.6,93.6,89.7
Waterford,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",1473,1595,1689,1688,1704
Waterford,Income of Self Employed (Euro Million),236,275,286,304,313
Waterford,Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million),152,161,179,172,183
Waterford,Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million),74,89,85,64,86
Waterford,Primary Income (Euro Million),1935,2121,2238,2228,2285
Waterford,Social Benefits and Other Current Transfers (Euro Million),769,757,735,725,773
Waterford,Total Household Income (Euro Million),2703,2878,2974,2952,3058
Waterford,Total Income per Person (Euro),23618,24981,25595,25114,25724
Waterford,Index of Total Income per Person (State=100),93,96,95.3,90.5,88
Waterford,Current Taxes on Income (Euro Million),699,789,807,766,778
Waterford,Disposable Household Income (Euro Million),2004,2089,2167,2186,2280
Waterford,Disposable Income per Person (Euro),17512,18132,18654,18597,19179
Waterford,Index of Disposable Income per Person (State=100),97.3,99.8,98.9,94.6,92.6
Waterford,Disposable Income per Person (excluding Rent) (Euro),16034,16484,17013,16687,17457
Waterford,Index of Disposable Income per Person (excluding Rent) (State=100),98.7,101.6,100.5,97.4,95
South-West,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",9660,9821,10336,11143,11653
South-West,Income of Self Employed (Euro Million),1573,1785,1662,1894,2015
South-West,Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million),1001,1068,1159,1298,1366
South-West,Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million),489,558,518,423,585
South-West,Primary Income (Euro Million),12723,13233,13675,14757,15619
South-West,Social Benefits and Other Current Transfers (Euro Million),3774,3691,3608,3506,3624
South-West,Total Household Income (Euro Million),16496,16924,17283,18263,19243
South-West,Total Income per Person (Euro),24681,25154,25469,26605,27723
South-West,Index of Total Income per Person (State=100),97.2,96.7,94.8,95.9,94.8
South-West,Current Taxes on Income (Euro Million),4674,4988,5002,5193,5434
South-West,Disposable Household Income (Euro Million),11822,11936,12281,13070,13808
South-West,Disposable Income per Person (Euro),17689,17741,18102,19040,19893
South-West,Index of Disposable Income per Person (State=100),98.3,97.6,96,96.8,96
South-West,Disposable Income per Person (excluding Rent) (Euro),16017,15885,16288,16647,17717
